task_id,human_accuracy,varc_correct,agreement
47996f11,0.1111111111111111,False,True
48131b3c,0.5,True,False
4852f2fa,0.5,False,True
48f8583b,0.375,True,False
4aab4007,0.8571428571428571,True,True
4acc7107,0.5833333333333334,False,False
4b6b68e5,0.8571428571428571,False,False
4c177718,0.5,False,True
4cd1b7b2,0.9,True,True
4e45f183,0.6666666666666666,False,False
4e469f39,0.8571428571428571,True,True
4f537728,0.9285714285714286,True,True
4ff4c9da,0.14285714285714285,False,True
505fff84,0.5,False,True
506d28a5,0.42857142857142855,True,False
50a16a69,0.75,True,True
50aad11f,0.8,True,True
50f325b5,0.2857142857142857,False,True
516b51b7,0.875,True,True
5207a7b5,0.5555555555555556,True,True
5289ad53,0.7272727272727273,True,True
52fd389e,0.75,False,False
54db823b,0.7142857142857143,True,True
55059096,0.8888888888888888,True,True
551d5bf1,0.8461538461538461,True,True
55783887,0.42857142857142855,False,True
575b1a71,0.9166666666666666,False,False
5783df64,1.0,True,True
5833af48,0.14285714285714285,False,True
58743b76,0.7777777777777778,True,True
58e15b12,0.16666666666666666,False,True
59341089,0.8181818181818182,True,True
5a5a2103,1.0,True,True
5af49b42,0.5,False,True
5b526a93,1.0,True,True
5b692c0f,0.14285714285714285,False,True
5b6cbef5,0.5384615384615384,True,True
5d2a5c43,0.25,True,False
5ffb2104,0.8333333333333334,False,False
604001fa,0.45454545454545453,False,True
60a26a3e,0.5714285714285714,True,True
60c09cac,0.5555555555555556,True,True
626c0bcc,0.6666666666666666,False,False
62ab2642,0.8333333333333334,False,False
62b74c02,0.7692307692307693,True,True
639f5a19,0.5833333333333334,True,True
642248e4,0.7692307692307693,True,True
642d658d,0.8333333333333334,True,True
64a7c07e,0.7142857142857143,False,False
66e6c45b,0.9166666666666666,True,True
66f2d22f,0.36363636363636365,True,False
67636eac,0.9230769230769231,False,False
67b4a34d,0.5,True,False
67c52801,0.9230769230769231,True,True
68b67ca3,0.8333333333333334,True,True
692cd3b6,1.0,True,True
695367ec,0.5555555555555556,False,False
696d4842,0.42857142857142855,False,True
69889d6e,0.6666666666666666,True,True
6a11f6da,0.6153846153846154,True,True
6ad5bdfd,0.625,False,False
6df30ad6,0.8571428571428571,True,True
6ea4a07e,0.8181818181818182,True,True
6f473927,0.7777777777777778,True,True
7039b2d7,0.6666666666666666,False,False
705a3229,0.9411764705882353,True,True
712bf12e,0.75,False,False
72207abc,0.5,False,True
72a961c9,0.8,True,True
73182012,0.8421052631578947,True,True
73c3b0d8,0.375,False,True
73ccf9c2,0.6,False,False
759f3fd3,0.8571428571428571,True,True
762cd429,0.7272727272727273,True,True
770cc55f,0.75,True,True
782b5218,0.75,True,True
79369cc6,0.42857142857142855,False,True
7953d61e,0.2727272727272727,True,False
79fb03f4,0.0,False,True
7bb29440,0.7142857142857143,True,True
7c8af763,0.6666666666666666,False,False
7c9b52a0,0.8125,True,True
7d18a6fb,0.8461538461538461,False,False
7d1f7ee8,0.9,True,True
7d419a02,0.2857142857142857,False,True
7e02026e,0.5,True,False
7ee1c6ea,0.7857142857142857,True,True
817e6c09,0.4,True,False
81c0276b,1.0,False,False
833dafe3,0.9,True,True
845d6e51,0.8888888888888888,False,False
84db8fc4,0.3333333333333333,True,False
84f2aca1,0.7777777777777778,True,True
8597cfd7,0.9166666666666666,True,True
85b81ff1,0.42857142857142855,False,True
85fa5666,0.4444444444444444,False,True
8719f442,0.0,True,False
88207623,0.8181818181818182,False,False
891232d6,0.16666666666666666,False,True
896d5239,0.6666666666666666,True,True
8a371977,0.8571428571428571,True,True
8b28cd80,0.3076923076923077,False,True
8ba14f53,0.5384615384615384,False,False
8cb8642d,1.0,True,True
8dae5dfc,0.8571428571428571,False,False
8e2edd66,0.26666666666666666,True,False
8ee62060,0.7272727272727273,True,True
8fbca751,0.8,False,False
90347967,0.25,False,True
903d1b4a,0.8333333333333334,True,True
9110e3c5,1.0,False,False
917bccba,0.7692307692307693,False,False
929ab4e9,0.25,False,True
92e50de0,0.8571428571428571,True,True
9356391f,0.5555555555555556,False,False
93b4f4b3,0.75,False,False
93c31fbe,0.7,True,True
94133066,0.25,False,True
94414823,0.8666666666666667,True,True
94be5b80,0.875,False,False
95a58926,0.8,True,True
963f59bc,0.9,False,False
96a8c0cd,0.5,False,True
97239e3d,0.7142857142857143,True,True
9772c176,0.5714285714285714,True,True
981571dc,0.625,True,True
992798f6,0.7,True,True
99306f82,0.7,True,True
9a4bb226,0.7,True,True
9b2a60aa,0.5384615384615384,False,False
9b365c51,0.5714285714285714,True,True
9b4c17c4,0.8333333333333334,False,False
9bebae7a,0.6923076923076923,False,False
9c1e755f,0.7333333333333333,True,True
9c56f360,0.6,False,False
9caba7c3,0.5,True,False
9ddd00f0,0.6666666666666666,True,True
9def23fe,0.4444444444444444,True,False
9f27f097,0.7,True,True
a04b2602,0.8181818181818182,True,True
a096bf4d,0.5384615384615384,True,True
a3f84088,0.6,False,False
a406ac07,0.8181818181818182,True,True
a57f2f04,0.4444444444444444,True,False
a59b95c0,0.6153846153846154,True,True
a680ac02,0.8,False,False
a8610ef7,0.0,True,False
a934301b,0.8571428571428571,True,True
aa18de87,0.6666666666666666,True,True
aa300dc3,1.0,False,False
aa4ec2a5,0.7857142857142857,False,False
aab50785,0.375,False,True
ac0c5833,0.8181818181818182,False,False
ac2e8ecf,0.5714285714285714,False,False
ac3e2b04,0.7333333333333333,True,True
ac605cbb,0.4166666666666667,False,True
ad7e01d0,0.2222222222222222,False,True
ae58858e,0.7,True,True
aee291af,0.7272727272727273,False,False
af22c60d,0.5,True,False
af24b4cc,0.9,True,True
b0722778,0.3,False,True
b0f4d537,0.75,False,False
b15fca0b,1.0,False,False
b1fc8b8e,0.625,False,False
b20f7c8b,0.5454545454545454,False,False
b457fec5,0.6666666666666666,False,False
b4a43f3b,0.3,False,True
b7999b51,0.8,False,False
b7cb93ac,0.8,False,False
b7f8a4d8,0.3,True,False
b7fb29bc,0.7777777777777778,False,False
b942fd60,0.26666666666666666,False,True
b9630600,0.6666666666666666,True,True
ba9d41b8,1.0,False,False
baf41dbf,0.6363636363636364,True,True
bb52a14b,0.5,False,True
bbb1b8b6,0.6923076923076923,True,True
bc4146bd,0.4166666666666667,True,False
bcb3040b,0.7142857142857143,True,True
bd14c3bf,0.625,False,False
be03b35f,0.7,False,False
bf32578f,0.4,False,True
bf699163,1.0,True,True
bf89d739,0.875,True,True
c074846d,0.7777777777777778,False,False
c1990cce,0.4444444444444444,False,True
c3202e5a,0.8888888888888888,True,True
c35c1b4c,0.4444444444444444,False,True
c48954c1,0.42857142857142855,True,False
c62e2108,0.5555555555555556,True,True
c64f1187,0.8,False,False
c658a4bd,0.6,False,False
c663677b,0.375,True,False
c6e1b8da,0.7777777777777778,False,False
c7d4e6ad,0.875,True,True
c87289bb,0.875,False,False
c8b7cc0f,0.8181818181818182,False,False
c92b942c,0.3333333333333333,False,True
c97c0139,0.5454545454545454,True,True
ca8de6ea,0.7272727272727273,True,True
ca8f78db,1.0,True,True
cad67732,0.8,True,True
cb227835,0.5,True,False
ccd554ac,0.4,False,True
cd3c21df,0.9166666666666666,True,True
ce039d91,0.3076923076923077,False,True
ce8d95cc,0.5,True,False
cf133acc,0.7777777777777778,True,True
cfb2ce5a,0.42857142857142855,False,True
d017b73f,0.5,False,True
d19f7514,0.3076923076923077,True,False
d282b262,0.5714285714285714,False,False
d2acf2cb,0.6666666666666666,True,True
d304284e,0.75,False,False
d37a1ef5,0.9,True,True
d47aa2ff,0.5714285714285714,True,True
d492a647,0.5555555555555556,True,True
d4b1c2b1,0.5,False,True
d4c90558,1.0,False,False
d56f2372,0.5714285714285714,False,False
d5c634a2,0.4166666666666667,False,True
d931c21c,0.8181818181818182,False,False
d94c3b52,0.5,False,True
da2b0fe3,0.9090909090909091,False,False
da515329,0.42857142857142855,True,False
dc2aa30b,0.3,False,True
dc2e9a9d,0.8666666666666667,False,False
dd2401ed,0.5,False,True
de493100,0.6666666666666666,False,False
df8cc377,0.6666666666666666,False,False
e0fb7511,0.7,True,True
e133d23d,0.6,True,True
e1baa8a4,0.9,False,False
e1d2900e,0.7272727272727273,False,False
e2092e0c,0.125,False,True
e21a174a,0.6666666666666666,False,False
e345f17b,0.5555555555555556,True,True
e4075551,0.7777777777777778,True,True
e41c6fd3,0.5333333333333333,True,True
e57337a4,0.8666666666666667,True,True
e5790162,0.5714285714285714,False,False
e5c44e8f,0.46153846153846156,False,True
e619ca6e,0.6666666666666666,False,False
e633a9e5,0.6666666666666666,True,True
e66aafb8,0.7692307692307693,True,True
e681b708,0.625,True,True
e69241bd,0.6666666666666666,False,False
e6de6e8f,0.1,False,True
e74e1818,0.75,False,False
e760a62e,0.8,True,True
e7639916,0.7272727272727273,True,True
e78887d1,0.45454545454545453,False,True
e7a25a18,0.8181818181818182,False,False
e7b06bea,0.375,True,False
e7dd8335,0.875,False,False
e872b94a,0.6,False,False
e88171ec,0.8181818181818182,True,True
e95e3d8e,0.7142857142857143,True,True
e99362f0,0.23529411764705882,True,False
e9ac8c9e,0.75,True,True
e9b4f6fc,0.7,True,True
e9bb6954,0.5555555555555556,True,True
e9c9d9a1,0.8181818181818182,True,True
ea959feb,0.9166666666666666,True,True
ea9794b1,0.2222222222222222,True,False
ecaa0ec1,0.6,False,False
ed74f2f2,0.6363636363636364,False,False
ed98d772,0.3,False,True
ef26cbf6,0.8,True,True
f0afb749,0.75,True,True
f0df5ff0,0.7777777777777778,True,True
f21745ec,0.75,False,False
f3b10344,0.375,False,True
f3cdc58f,0.8888888888888888,False,False
f3e62deb,0.7142857142857143,False,False
f4081712,0.6666666666666666,True,True
f45f5ca7,1.0,False,False
f5aa3634,0.8571428571428571,False,False
f5c89df1,0.3,False,True
f823c43c,0.8,True,True
f83cb3f6,0.7692307692307693,True,True
f8be4b64,0.5,True,False
f9a67cb5,0.2222222222222222,False,True
f9d67f8b,0.5,False,True
fafd9572,0.9166666666666666,False,False
fb791726,0.8,True,True
fc754716,0.8571428571428571,True,True
fd096ab6,0.6666666666666666,False,False
fd4b2b02,0.4,False,True
fe9372f3,0.6666666666666666,False,False
fea12743,0.09090909090909091,False,True
ff72ca3e,0.5384615384615384,False,False
