task_id,participant_id,error_type,cell_accuracy
8ba14f53,2315bacf64eae37e3bfbc4408ab998c0,wrong_content,0.1111111111111111
df8cc377,3133cc43463c70529641e262db27e95e,correct,1.0
90347967,3133cc43463c70529641e262db27e95e,close_miss,0.8148148148148148
ea959feb,2ec17018f98f5f283657d7d07187852a,correct,1.0
40f6cd08,0410e236ae9de15ea3b7fa4949144e83,correct,1.0
85fa5666,5a0531facfc7d4451b6cb3aade7e96d3,wrong_size,
b4a43f3b,5a0531facfc7d4451b6cb3aade7e96d3,close_miss,0.8024691358024691
d19f7514,cae2d6af70f490bec3c0c3539002ac67,correct,1.0
dc2e9a9d,3ee63d60be2d0e3991c0f4a2d4f4bfae,close_miss,0.9359605911330049
94414823,3ee63d60be2d0e3991c0f4a2d4f4bfae,correct,1.0
22a4bbc2,e0748e7f76508acfbb4e2eea7ec34c4b,wrong_content,0.23863636363636365
3a301edc,e0748e7f76508acfbb4e2eea7ec34c4b,wrong_size,
ea9794b1,8c917fd19b7aeea574688fd18f9a6d41,wrong_content,0.64
8b28cd80,e4074176823324829af0a000ac5cfa63,wrong_size,
72a961c9,31fe7c2303adca3e32d8f6bbb86de530,close_miss,0.9393939393939394
bf32578f,e4074176823324829af0a000ac5cfa63,close_miss,0.875
18419cfa,31fe7c2303adca3e32d8f6bbb86de530,correct,1.0
17cae0c1,be194891189c992c9d5bb13935783a32,wrong_content,0.3333333333333333
bd14c3bf,0410e236ae9de15ea3b7fa4949144e83,correct,1.0
dc2aa30b,0410e236ae9de15ea3b7fa4949144e83,wrong_content,0.7768595041322314
c62e2108,b23f6dc02c7ca97e78934b3da79e98e3,close_miss,0.9166666666666666
88207623,b23f6dc02c7ca97e78934b3da79e98e3,close_miss,0.9236111111111112
3ed85e70,b23f6dc02c7ca97e78934b3da79e98e3,close_miss,0.9977777777777778
140c817e,d886221e1a209085ec372cf6b12cfc1f,close_miss,0.9948979591836735
1c56ad9f,0031cf4669cfd3df3ba65aa08f52b724,wrong_content,0.7688888888888888
48131b3c,f8bd63c74cf0dc6f371ab972c0e425a4,correct,1.0
93c31fbe,e4074176823324829af0a000ac5cfa63,correct,1.0
6f473927,31fe7c2303adca3e32d8f6bbb86de530,wrong_content,0.5
a59b95c0,e4074176823324829af0a000ac5cfa63,correct,1.0
7c8af763,31fe7c2303adca3e32d8f6bbb86de530,wrong_content,0.52
45bbe264,31fe7c2303adca3e32d8f6bbb86de530,close_miss,0.8133333333333334
fe9372f3,e4074176823324829af0a000ac5cfa63,correct,1.0
0d87d2a6,137e8edadc66a0b02889ffbb5813e577,correct,1.0
319f2597,137e8edadc66a0b02889ffbb5813e577,correct,1.0
992798f6,b223c7c37cc545e91812ead69d0a80ef,wrong_size,
3f23242b,b223c7c37cc545e91812ead69d0a80ef,wrong_size,
5b692c0f,b223c7c37cc545e91812ead69d0a80ef,wrong_size,
40f6cd08,cae2d6af70f490bec3c0c3539002ac67,correct,1.0
e619ca6e,cae2d6af70f490bec3c0c3539002ac67,correct,1.0
b7fb29bc,f8bd63c74cf0dc6f371ab972c0e425a4,correct,1.0
37d3e8b2,f8bd63c74cf0dc6f371ab972c0e425a4,correct,1.0
f4081712,f8bd63c74cf0dc6f371ab972c0e425a4,correct,1.0
bd14c3bf,0031cf4669cfd3df3ba65aa08f52b724,close_miss,0.9168975069252078
bf89d739,0031cf4669cfd3df3ba65aa08f52b724,correct,1.0
4ff4c9da,0dabacce4b34d2ab26625e7f53a85748,correct,1.0
60a26a3e,0dabacce4b34d2ab26625e7f53a85748,correct,1.0
50f325b5,0dabacce4b34d2ab26625e7f53a85748,close_miss,0.9558823529411765
14754a24,0dabacce4b34d2ab26625e7f53a85748,correct,1.0
7039b2d7,5faba1d93908faeb0154b6cfd9d57bd9,wrong_size,
15663ba9,ae4b3cefea1bf1e5dd12fc3ec56c5cff,correct,1.0
6ea4a07e,ae4b3cefea1bf1e5dd12fc3ec56c5cff,correct,1.0
fd096ab6,b223c7c37cc545e91812ead69d0a80ef,wrong_content,0.008888888888888889
8ba14f53,5477f639cbfdb0f0c9d67babd214a96e,wrong_content,0.3333333333333333
c35c1b4c,5477f639cbfdb0f0c9d67babd214a96e,close_miss,0.91
2546ccf6,d886221e1a209085ec372cf6b12cfc1f,correct,1.0
52fd389e,aec50e91f6cd0974455747ee54e869c3,correct,1.0
1a6449f1,ec0e37e76c3719bffce29af17c9f4725,correct,1.0
e872b94a,ec0e37e76c3719bffce29af17c9f4725,correct,1.0
99306f82,ec0e37e76c3719bffce29af17c9f4725,correct,1.0
ed74f2f2,ec0e37e76c3719bffce29af17c9f4725,correct,1.0
85b81ff1,c74da1ac7cbc8ff4742e34854262b772,wrong_content,0.5769230769230769
55059096,c74da1ac7cbc8ff4742e34854262b772,close_miss,0.9411764705882353
639f5a19,c74da1ac7cbc8ff4742e34854262b772,wrong_content,0.5349716446124764
551d5bf1,c74da1ac7cbc8ff4742e34854262b772,wrong_content,0.7485207100591716
e9bb6954,c74da1ac7cbc8ff4742e34854262b772,wrong_content,0.7645429362880887
be03b35f,b876f90bbee6149f2c0e60680871ae55,correct,1.0
b7f8a4d8,b876f90bbee6149f2c0e60680871ae55,correct,1.0
33b52de3,b876f90bbee6149f2c0e60680871ae55,correct,1.0
d4c90558,b876f90bbee6149f2c0e60680871ae55,correct,1.0
2f0c5170,b876f90bbee6149f2c0e60680871ae55,wrong_size,
2c737e39,f8bd63c74cf0dc6f371ab972c0e425a4,correct,1.0
42a15761,d932d78f383a85708c9be405a1322d03,correct,1.0
817e6c09,d932d78f383a85708c9be405a1322d03,close_miss,0.8095238095238095
27f8ce4f,d932d78f383a85708c9be405a1322d03,wrong_content,0.18518518518518517
f21745ec,880d557bf3a70cf47acfbeef796c373d,close_miss,0.8181818181818182
9c1e755f,da5f676ff7bf11f6cd4781fac5a4e230,wrong_content,0.52
f83cb3f6,b2950e829680cf0fef53daa28bed98bf,correct,1.0
c87289bb,880d557bf3a70cf47acfbeef796c373d,wrong_content,0.78
2037f2c7,da5f676ff7bf11f6cd4781fac5a4e230,wrong_size,
6df30ad6,ec0e37e76c3719bffce29af17c9f4725,correct,1.0
0bb8deee,ae4b3cefea1bf1e5dd12fc3ec56c5cff,correct,1.0
506d28a5,cb33533981804edfc6b88e13f8260777,wrong_content,0.6
55783887,cb33533981804edfc6b88e13f8260777,close_miss,0.8980263157894737
ce039d91,cb33533981804edfc6b88e13f8260777,close_miss,0.85
2c737e39,e6743b6579351b2577f61287a3ab6bf7,close_miss,0.9090909090909091
7d1f7ee8,aec50e91f6cd0974455747ee54e869c3,correct,1.0
95a58926,aec50e91f6cd0974455747ee54e869c3,correct,1.0
09c534e7,03fc289c2b58466cb3894f1e24c3edb7,correct,1.0
68b67ca3,f0fc45c662ed5813d755d6cc9e2af0d3,correct,1.0
477d2879,b52ccf43141004da8d319b11cb4fbe31,wrong_content,0.03550295857988166
00dbd492,da5f676ff7bf11f6cd4781fac5a4e230,correct,1.0
aa18de87,d479e862ecd0945ceec3ff90138b2dbf,correct,1.0
2a5f8217,880d557bf3a70cf47acfbeef796c373d,close_miss,0.8757396449704142
5b6cbef5,4d33ef63425aa13dae7bcd996c471874,wrong_content,0.75
59341089,880d557bf3a70cf47acfbeef796c373d,wrong_size,
baf41dbf,b2950e829680cf0fef53daa28bed98bf,correct,1.0
5ffb2104,da5f676ff7bf11f6cd4781fac5a4e230,correct,1.0
8dae5dfc,aec50e91f6cd0974455747ee54e869c3,correct,1.0
7953d61e,7aa8602c56710f949a2f72ac0fedf784,correct,1.0
c663677b,7aa8602c56710f949a2f72ac0fedf784,correct,1.0
62b74c02,7aa8602c56710f949a2f72ac0fedf784,correct,1.0
b7cb93ac,7aa8602c56710f949a2f72ac0fedf784,correct,1.0
17cae0c1,3df891de1b55faa83ad83e3f21d02cc0,wrong_content,0.0
67c52801,5d98fe9044361de4c70f4aa7dd0c221c,correct,1.0
8ee62060,220c44634ecb5ac741ce44e0516c6886,wrong_content,0.75
73c3b0d8,b52ccf43141004da8d319b11cb4fbe31,close_miss,0.9166666666666666
47996f11,b52ccf43141004da8d319b11cb4fbe31,close_miss,0.8411111111111111
9ddd00f0,d479e862ecd0945ceec3ff90138b2dbf,correct,1.0
12422b43,b52ccf43141004da8d319b11cb4fbe31,close_miss,0.8571428571428571
281123b4,b52ccf43141004da8d319b11cb4fbe31,wrong_size,
0f63c0b9,5c5fb7f6c6ec72e959df5dbe456a526a,wrong_content,0.7377777777777778
d304284e,5c5fb7f6c6ec72e959df5dbe456a526a,close_miss,0.8711180124223602
0becf7df,624a06e0acc3d80c6b0f6936a6e38de6,close_miss,0.88
9356391f,624a06e0acc3d80c6b0f6936a6e38de6,wrong_content,0.53125
604001fa,624a06e0acc3d80c6b0f6936a6e38de6,wrong_content,0.7
c62e2108,d932d78f383a85708c9be405a1322d03,close_miss,0.9409722222222222
6ad5bdfd,8982295321d2d439e947f151bb3edea5,wrong_content,0.39
19bb5feb,8982295321d2d439e947f151bb3edea5,correct,1.0
7bb29440,8982295321d2d439e947f151bb3edea5,wrong_size,
5ffb2104,bd5156b61b4c1e8436fd9c6f4b56e518,correct,1.0
2037f2c7,bd5156b61b4c1e8436fd9c6f4b56e518,correct,1.0
f9d67f8b,bd5156b61b4c1e8436fd9c6f4b56e518,correct,1.0
97239e3d,cc0cfffc7d935c355a8992ce3ea34bbe,correct,1.0
d5c634a2,220c44634ecb5ac741ce44e0516c6886,wrong_size,
25094a63,220c44634ecb5ac741ce44e0516c6886,close_miss,0.8533333333333334
af24b4cc,d479e862ecd0945ceec3ff90138b2dbf,correct,1.0
9b2a60aa,220c44634ecb5ac741ce44e0516c6886,close_miss,0.9230769230769231
bbb1b8b6,220c44634ecb5ac741ce44e0516c6886,wrong_size,
3194b014,d479e862ecd0945ceec3ff90138b2dbf,correct,1.0
66e6c45b,624a06e0acc3d80c6b0f6936a6e38de6,wrong_size,
ed98d772,67dee526fee790591e879d9ec11f24b7,wrong_content,0.6666666666666666
103eff5b,8dc2defee4fe70bdc88431277f0e9c75,close_miss,0.8461538461538461
e7dd8335,8dc2defee4fe70bdc88431277f0e9c75,correct,1.0
ce039d91,5d98fe9044361de4c70f4aa7dd0c221c,correct,1.0
0c9aba6e,5d98fe9044361de4c70f4aa7dd0c221c,wrong_content,0.5833333333333334
85b81ff1,a9f5bcbabc20827d7272b79333f06cb1,close_miss,0.8791208791208791
8719f442,f4d393b050cbd4782032aa52e429d593,close_miss,0.8222222222222222
bc4146bd,f4d393b050cbd4782032aa52e429d593,wrong_content,0.225
be03b35f,b084f5764068bf9ef32ffe4025b0ddcb,wrong_content,0.5
2f0c5170,b084f5764068bf9ef32ffe4025b0ddcb,correct,1.0
2a5f8217,7ed9ec4ca6d7e3c4e2289d79a830eed3,correct,1.0
ce039d91,4d33ef63425aa13dae7bcd996c471874,close_miss,0.97
67c52801,4d33ef63425aa13dae7bcd996c471874,correct,1.0
4acc7107,4d33ef63425aa13dae7bcd996c471874,close_miss,0.86
e1baa8a4,d479e862ecd0945ceec3ff90138b2dbf,correct,1.0
17b80ad2,4d33ef63425aa13dae7bcd996c471874,wrong_content,0.5813148788927336
48f8583b,429b39a40ea36c62e0a924c31d305f0f,wrong_content,0.4444444444444444
e7b06bea,429b39a40ea36c62e0a924c31d305f0f,wrong_size,
7c9b52a0,429b39a40ea36c62e0a924c31d305f0f,correct,1.0
da2b0fe3,69279b9aa531e47b2fd9f696395adde6,correct,1.0
50f325b5,86826fd8797d377b2cd8d69adb9c0823,close_miss,0.9485294117647058
3194b014,92653c793e8f14b5deae23d8b8aec922,correct,1.0
2697da3f,a96e59284dc0f9b89d10befaabab0731,correct,1.0
505fff84,7ed9ec4ca6d7e3c4e2289d79a830eed3,correct,1.0
29700607,92653c793e8f14b5deae23d8b8aec922,correct,1.0
aa18de87,92653c793e8f14b5deae23d8b8aec922,correct,1.0
9ddd00f0,92653c793e8f14b5deae23d8b8aec922,correct,1.0
e5790162,92653c793e8f14b5deae23d8b8aec922,correct,1.0
33b52de3,b084f5764068bf9ef32ffe4025b0ddcb,correct,1.0
59341089,7ed9ec4ca6d7e3c4e2289d79a830eed3,correct,1.0
d4c90558,b084f5764068bf9ef32ffe4025b0ddcb,correct,1.0
84db8fc4,b084f5764068bf9ef32ffe4025b0ddcb,wrong_content,0.74
a934301b,cc0cfffc7d935c355a8992ce3ea34bbe,correct,1.0
d56f2372,770683ac13743a05e9a95c894e47e944,close_miss,0.9629629629629629
e9bb6954,a9f5bcbabc20827d7272b79333f06cb1,correct,1.0
ca8f78db,a9f5bcbabc20827d7272b79333f06cb1,correct,1.0
551d5bf1,a9f5bcbabc20827d7272b79333f06cb1,correct,1.0
7ee1c6ea,2f07d9a1ef1a816d50ac96243e3ee254,correct,1.0
423a55dc,a96e59284dc0f9b89d10befaabab0731,close_miss,0.8741258741258742
9b365c51,b2d364f15c5c89403a3c998302edd460,correct,1.0
833dafe3,7ed9ec4ca6d7e3c4e2289d79a830eed3,correct,1.0
f21745ec,7ed9ec4ca6d7e3c4e2289d79a830eed3,correct,1.0
12eac192,f4d393b050cbd4782032aa52e429d593,wrong_content,0.734375
903d1b4a,e8e44cf041585c84ad494ccb269d75bb,correct,1.0
e41c6fd3,e8e44cf041585c84ad494ccb269d75bb,correct,1.0
31adaf00,e8e44cf041585c84ad494ccb269d75bb,correct,1.0
e872b94a,e8e44cf041585c84ad494ccb269d75bb,wrong_size,
6ea4a07e,93c5bf1041eb370de6a7b7e6752525b8,correct,1.0
ef26cbf6,93c5bf1041eb370de6a7b7e6752525b8,correct,1.0
f3b10344,93c5bf1041eb370de6a7b7e6752525b8,correct,1.0
3979b1a8,db5419a91c4a7f064cbb33ed596558cf,correct,1.0
d37a1ef5,db5419a91c4a7f064cbb33ed596558cf,correct,1.0
08573cc6,a96e59284dc0f9b89d10befaabab0731,correct,1.0
03560426,9b09e86ba3b8cb213a925851c1ec8e5a,wrong_content,0.71
e5790162,2f07d9a1ef1a816d50ac96243e3ee254,correct,1.0
0a2355a6,a96e59284dc0f9b89d10befaabab0731,correct,1.0
3194b014,2f07d9a1ef1a816d50ac96243e3ee254,correct,1.0
136b0064,db5419a91c4a7f064cbb33ed596558cf,close_miss,0.8195488721804511
9bebae7a,55fff3979e08e31c64a24f49748221a5,correct,1.0
7d1f7ee8,2ab3626dab8e34370d50c416e91dd587,correct,1.0
a57f2f04,2ab3626dab8e34370d50c416e91dd587,correct,1.0
5ffb2104,15c46cb31179b21fc9a97789b65d49ad,correct,1.0
4ff4c9da,15c46cb31179b21fc9a97789b65d49ad,close_miss,0.9862825788751715
2037f2c7,15c46cb31179b21fc9a97789b65d49ad,correct,1.0
14754a24,15c46cb31179b21fc9a97789b65d49ad,close_miss,0.9861495844875346
20981f0e,9b09e86ba3b8cb213a925851c1ec8e5a,close_miss,0.9004524886877828
8719f442,d5db4210c1605dabeff34375d5110251,wrong_size,
29700607,2f07d9a1ef1a816d50ac96243e3ee254,correct,1.0
575b1a71,d5db4210c1605dabeff34375d5110251,correct,1.0
13713586,d5db4210c1605dabeff34375d5110251,correct,1.0
6a11f6da,c0f08686af75b668f9fefacfc2a4dc49,wrong_content,0.76
9ddd00f0,2f07d9a1ef1a816d50ac96243e3ee254,correct,1.0
8719f442,72ed6d44d2197b87c3a3379b979c2234,wrong_content,0.7288888888888889
575b1a71,72ed6d44d2197b87c3a3379b979c2234,correct,1.0
212895b5,21914af461a7baaecffd791b0314bd15,correct,1.0
ea959feb,21914af461a7baaecffd791b0314bd15,correct,1.0
575b1a71,9332c8f720dec21509f585c4d1a9335d,correct,1.0
4f537728,9332c8f720dec21509f585c4d1a9335d,correct,1.0
97239e3d,9332c8f720dec21509f585c4d1a9335d,close_miss,0.8062283737024222
c1990cce,29bd0fdfcf12ffbcb44810b33b5c7acc,wrong_size,
f21745ec,c5bafbdd62a2032067b14a16e2bd0176,wrong_size,
cd3c21df,9b09e86ba3b8cb213a925851c1ec8e5a,wrong_size,
ca8de6ea,9b09e86ba3b8cb213a925851c1ec8e5a,wrong_size,
f3cdc58f,a96e59284dc0f9b89d10befaabab0731,correct,1.0
9c1e755f,c0f08686af75b668f9fefacfc2a4dc49,close_miss,0.91
963f59bc,f9eb47fca19ae78a88df6da565d18061,correct,1.0
281123b4,5fd2d77447da55099ae2b1f7516381e4,correct,1.0
7bb29440,c0f08686af75b668f9fefacfc2a4dc49,wrong_size,
e760a62e,c0f08686af75b668f9fefacfc2a4dc49,wrong_size,
c658a4bd,5fd2d77447da55099ae2b1f7516381e4,correct,1.0
fafd9572,f9eb47fca19ae78a88df6da565d18061,correct,1.0
2a5f8217,c5bafbdd62a2032067b14a16e2bd0176,close_miss,0.9763313609467456
ed74f2f2,832fcaa84fd16b40b5d030c1a50418ad,correct,1.0
7d18a6fb,b2437372fc2d2667bacc431fc6376300,wrong_size,
7039b2d7,b2437372fc2d2667bacc431fc6376300,wrong_size,
4c177718,b2437372fc2d2667bacc431fc6376300,close_miss,0.8518518518518519
e6de6e8f,b2437372fc2d2667bacc431fc6376300,close_miss,0.8928571428571429
ae58858e,5fd2d77447da55099ae2b1f7516381e4,correct,1.0
a096bf4d,d5db4210c1605dabeff34375d5110251,close_miss,0.9674556213017751
4f537728,d5db4210c1605dabeff34375d5110251,correct,1.0
cb227835,9b09e86ba3b8cb213a925851c1ec8e5a,close_miss,0.8901098901098901
aee291af,f9eb47fca19ae78a88df6da565d18061,correct,1.0
ac0c5833,b75846fa697bf69c64d8ddb2502e976f,correct,1.0
a680ac02,b75846fa697bf69c64d8ddb2502e976f,correct,1.0
477d2879,5fd2d77447da55099ae2b1f7516381e4,correct,1.0
cf133acc,f9eb47fca19ae78a88df6da565d18061,correct,1.0
bf699163,f9eb47fca19ae78a88df6da565d18061,correct,1.0
ac605cbb,b75846fa697bf69c64d8ddb2502e976f,correct,1.0
5b526a93,e2e75046ad7a5b3d8139e284cec687bb,correct,1.0
0607ce86,e2e75046ad7a5b3d8139e284cec687bb,correct,1.0
4cd1b7b2,e2e75046ad7a5b3d8139e284cec687bb,correct,1.0
9c56f360,e2e75046ad7a5b3d8139e284cec687bb,close_miss,0.9753086419753086
9caba7c3,98bdef075e56fa9a5dba1d9128bb1b14,correct,1.0
32e9702f,98bdef075e56fa9a5dba1d9128bb1b14,correct,1.0
e681b708,98bdef075e56fa9a5dba1d9128bb1b14,correct,1.0
12422b43,5fd2d77447da55099ae2b1f7516381e4,correct,1.0
19bb5feb,c0f08686af75b668f9fefacfc2a4dc49,correct,1.0
1e97544e,df8b24da2a61154019e4f75b6f6d59b8,correct,1.0
b4a43f3b,0f4459f0f35a094a3c5aafecb84ea08b,close_miss,0.9567901234567902
917bccba,56ffe79946d05cbc61e214cb5dc32712,correct,1.0
963f59bc,f0521fc86aacef95f64cc43da08bccac,correct,1.0
a57f2f04,f9923ec6361d62b19157616a4cc102b2,correct,1.0
95a58926,f9923ec6361d62b19157616a4cc102b2,correct,1.0
de493100,9beda61b3fb1cf6794cf500572fa0735,wrong_size,
52fd389e,f9923ec6361d62b19157616a4cc102b2,correct,1.0
626c0bcc,9beda61b3fb1cf6794cf500572fa0735,correct,1.0
7d1f7ee8,f9923ec6361d62b19157616a4cc102b2,correct,1.0
2546ccf6,9beda61b3fb1cf6794cf500572fa0735,correct,1.0
103eff5b,f9923ec6361d62b19157616a4cc102b2,close_miss,0.8076923076923077
3d31c5b3,9beda61b3fb1cf6794cf500572fa0735,wrong_content,0.7777777777777778
27a77e38,b75846fa697bf69c64d8ddb2502e976f,correct,1.0
ac3e2b04,9beda61b3fb1cf6794cf500572fa0735,correct,1.0
7e02026e,b75846fa697bf69c64d8ddb2502e976f,correct,1.0
c92b942c,49a2378def79632c8d65549f265acbb5,correct,1.0
93c31fbe,23d102b56921182b4221066a6b64684a,correct,1.0
6a11f6da,30a1cd49f79796e1a457b34c70394f97,wrong_content,0.76
1990f7a8,56ffe79946d05cbc61e214cb5dc32712,correct,1.0
759f3fd3,f0521fc86aacef95f64cc43da08bccac,correct,1.0
3ee1011a,56ffe79946d05cbc61e214cb5dc32712,correct,1.0
9f27f097,56ffe79946d05cbc61e214cb5dc32712,correct,1.0
fafd9572,f0521fc86aacef95f64cc43da08bccac,correct,1.0
bf699163,f0521fc86aacef95f64cc43da08bccac,correct,1.0
8597cfd7,56ffe79946d05cbc61e214cb5dc32712,correct,1.0
aee291af,f0521fc86aacef95f64cc43da08bccac,correct,1.0
e633a9e5,98bdef075e56fa9a5dba1d9128bb1b14,correct,1.0
4cd1b7b2,4144cb85fc3de43d5d777875c3b043e9,correct,1.0
0607ce86,4144cb85fc3de43d5d777875c3b043e9,close_miss,0.9488636363636364
9c56f360,4144cb85fc3de43d5d777875c3b043e9,close_miss,0.8641975308641975
332efdb3,4144cb85fc3de43d5d777875c3b043e9,correct,1.0
f823c43c,89560883d30fe5851be26edf095441a1,wrong_content,0.6484375
ad7e01d0,ece1c2a8a403321f2bc4b6e1ad57b7fa,wrong_size,
1c56ad9f,23d102b56921182b4221066a6b64684a,wrong_size,
e2092e0c,fb4217aad87b61bb555c382e4ab7af81,close_miss,0.8711111111111111
256b0a75,eb0e3460043d2e0b0dcdc2035b5cec67,wrong_content,0.6784615384615384
08573cc6,eb0e3460043d2e0b0dcdc2035b5cec67,wrong_content,0.4378698224852071
ca8de6ea,fb4217aad87b61bb555c382e4ab7af81,correct,1.0
a59b95c0,23d102b56921182b4221066a6b64684a,wrong_size,
9c1e755f,30a1cd49f79796e1a457b34c70394f97,correct,1.0
4c177718,8a494ba0ed51782aaacaa62286ae41ba,close_miss,0.837037037037037
ae58858e,0a9e0bf3781552d973cf4dee48d58220,correct,1.0
55783887,0a9e0bf3781552d973cf4dee48d58220,correct,1.0
0c9aba6e,0a9e0bf3781552d973cf4dee48d58220,close_miss,0.8333333333333334
ecaa0ec1,0a9e0bf3781552d973cf4dee48d58220,close_miss,0.9669421487603306
ac605cbb,943f0d722a7d2520701146b9563a0de9,close_miss,0.9586776859504132
b7999b51,49a2378def79632c8d65549f265acbb5,correct,1.0
19bb5feb,30a1cd49f79796e1a457b34c70394f97,correct,1.0
f45f5ca7,eb0e3460043d2e0b0dcdc2035b5cec67,correct,1.0
fe9372f3,23d102b56921182b4221066a6b64684a,correct,1.0
50aad11f,eb0e3460043d2e0b0dcdc2035b5cec67,wrong_size,
7bb29440,30a1cd49f79796e1a457b34c70394f97,correct,1.0
195ba7dc,fb4217aad87b61bb555c382e4ab7af81,wrong_content,0.13333333333333333
bf89d739,5188fc909e32ed1ee99dcf5018f61f92,close_miss,0.9453781512605042
93c31fbe,5188fc909e32ed1ee99dcf5018f61f92,close_miss,0.9491758241758241
a59b95c0,5188fc909e32ed1ee99dcf5018f61f92,wrong_size,
fe9372f3,5188fc909e32ed1ee99dcf5018f61f92,wrong_size,
af22c60d,6ca4530176ef42dc4a22cdd9bcd01e15,correct,1.0
456873bc,6f8da277a0b59fef381a064e602ae3eb,close_miss,0.9168975069252078
a096bf4d,6968ac1f90e3a9420cf04e1068570777,correct,1.0
140c817e,49a2378def79632c8d65549f265acbb5,close_miss,0.9897959183673469
3b4c2228,3dbd9a2c7282406510658cfd54e5e094,correct,1.0
f5aa3634,3dbd9a2c7282406510658cfd54e5e094,correct,1.0
b7cb93ac,2efbb02f2320d55d30a5633b2f40bdc6,correct,1.0
4e469f39,8545ccb9b40cf0726bb481f38ba87e63,wrong_content,0.56
11e1fe23,2efbb02f2320d55d30a5633b2f40bdc6,correct,1.0
bf89d739,23d102b56921182b4221066a6b64684a,correct,1.0
