task_id,test_idx,error_type,cell_accuracy
705a3229,0,correct,1.0
712bf12e,0,close_miss,0.893491124260355
72207abc,0,close_miss,0.9885057471264368
72a961c9,0,correct,1.0
73182012,0,correct,1.0
73c3b0d8,0,close_miss,0.9479166666666666
73ccf9c2,0,wrong_size,
759f3fd3,0,correct,1.0
762cd429,0,correct,1.0
770cc55f,0,correct,1.0
782b5218,0,correct,1.0
79369cc6,0,close_miss,0.925
7953d61e,0,correct,1.0
79fb03f4,0,close_miss,0.9822485207100592
7bb29440,0,correct,1.0
7c8af763,0,close_miss,0.92
7c9b52a0,0,correct,1.0
7d18a6fb,0,wrong_content,0.7142857142857143
7d1f7ee8,0,correct,1.0
7d419a02,0,close_miss,0.986
7e02026e,0,correct,1.0
7ee1c6ea,0,correct,1.0
817e6c09,0,correct,1.0
81c0276b,0,wrong_size,
833dafe3,0,correct,1.0
845d6e51,0,close_miss,0.954248366013072
84db8fc4,0,correct,1.0
84f2aca1,0,correct,1.0
8597cfd7,0,correct,1.0
85b81ff1,0,close_miss,0.978021978021978
85fa5666,0,wrong_content,0.75
8719f442,0,correct,1.0
88207623,0,close_miss,0.9756944444444444
891232d6,0,close_miss,0.8666666666666667
896d5239,0,correct,1.0
8a371977,0,correct,1.0
8b28cd80,0,close_miss,0.9012345679012346
8b28cd80,1,close_miss,0.9876543209876543
8ba14f53,0,wrong_content,0.6666666666666666
8cb8642d,0,correct,1.0
8dae5dfc,0,close_miss,0.9736842105263158
8e2edd66,0,correct,1.0
8ee62060,0,correct,1.0
8fbca751,0,close_miss,0.9375
90347967,0,close_miss,0.9753086419753086
903d1b4a,0,correct,1.0
9110e3c5,0,wrong_content,0.6666666666666666
9110e3c5,1,close_miss,0.8888888888888888
917bccba,0,close_miss,0.8888888888888888
929ab4e9,0,close_miss,0.9722222222222222
92e50de0,0,correct,1.0
9356391f,0,close_miss,0.875
93b4f4b3,0,wrong_content,0.7764705882352941
93c31fbe,0,correct,1.0
94133066,0,wrong_size,
94414823,0,correct,1.0
94be5b80,0,close_miss,0.8296296296296296
95a58926,0,correct,1.0
963f59bc,0,close_miss,0.9375
96a8c0cd,0,close_miss,0.9124668435013262
97239e3d,0,correct,1.0
9772c176,0,correct,1.0
981571dc,0,correct,1.0
992798f6,0,correct,1.0
99306f82,0,correct,1.0
9a4bb226,0,correct,1.0
9b2a60aa,0,close_miss,0.9038461538461539
9b365c51,0,correct,1.0
9b4c17c4,0,close_miss,0.9363636363636364
9b4c17c4,1,correct,1.0
9bebae7a,0,close_miss,0.8787878787878788
9c1e755f,0,correct,1.0
9c56f360,0,close_miss,0.9876543209876543
9caba7c3,0,correct,1.0
9ddd00f0,0,correct,1.0
9def23fe,0,correct,1.0
9f27f097,0,correct,1.0
a04b2602,0,correct,1.0
a096bf4d,0,correct,1.0
a3f84088,0,close_miss,0.9588888888888889
a406ac07,0,correct,1.0
a57f2f04,0,correct,1.0
a59b95c0,0,correct,1.0
a680ac02,0,wrong_size,
a8610ef7,0,correct,1.0
a934301b,0,correct,1.0
aa18de87,0,correct,1.0
aa300dc3,0,close_miss,0.99
aa4ec2a5,0,close_miss,0.9430199430199431
aab50785,0,wrong_size,
ac0c5833,0,close_miss,0.9849108367626886
ac2e8ecf,0,wrong_content,0.775
ac3e2b04,0,correct,1.0
ac605cbb,0,close_miss,0.8099173553719008
ad7e01d0,0,wrong_size,
ae58858e,0,correct,1.0
aee291af,0,wrong_content,0.72
af22c60d,0,correct,1.0
af24b4cc,0,correct,1.0
b0722778,0,wrong_content,0.75
b0f4d537,0,close_miss,0.9761904761904762
b15fca0b,0,close_miss,0.82
b1fc8b8e,0,correct,1.0
b1fc8b8e,1,close_miss,0.84
b20f7c8b,0,wrong_content,0.7954545454545454
b457fec5,0,close_miss,0.8470209339774557
b4a43f3b,0,close_miss,0.9691358024691358
b7999b51,0,wrong_size,
b7cb93ac,0,wrong_size,
b7f8a4d8,0,correct,1.0
b7fb29bc,0,close_miss,0.9644444444444444
b942fd60,0,wrong_content,0.7666666666666667
b9630600,0,correct,1.0
ba9d41b8,0,wrong_content,0.6177285318559557
baf41dbf,0,correct,1.0
bb52a14b,0,close_miss,0.9710743801652892
bbb1b8b6,0,correct,1.0
bbb1b8b6,1,correct,1.0
bc4146bd,0,correct,1.0
bcb3040b,0,correct,1.0
bd14c3bf,0,close_miss,0.9778393351800554
be03b35f,0,wrong_content,0.5
bf32578f,0,close_miss,0.96875
bf699163,0,correct,1.0
bf89d739,0,correct,1.0
c074846d,0,close_miss,0.9259259259259259
c074846d,1,close_miss,0.9797979797979798
c1990cce,0,wrong_size,
c3202e5a,0,correct,1.0
c35c1b4c,0,close_miss,0.96
c48954c1,0,correct,1.0
c62e2108,0,correct,1.0
c64f1187,0,wrong_size,
c658a4bd,0,wrong_size,
c663677b,0,correct,1.0
c6e1b8da,0,close_miss,0.86
c7d4e6ad,0,correct,1.0
c87289bb,0,close_miss,0.94
c8b7cc0f,0,wrong_content,0.3333333333333333
c92b942c,0,close_miss,0.9506172839506173
c97c0139,0,correct,1.0
ca8de6ea,0,correct,1.0
ca8f78db,0,correct,1.0
cad67732,0,correct,1.0
cb227835,0,correct,1.0
ccd554ac,0,wrong_size,
cd3c21df,0,correct,1.0
ce039d91,0,close_miss,0.91
ce8d95cc,0,correct,1.0
cf133acc,0,correct,1.0
cfb2ce5a,0,wrong_content,0.74
d017b73f,0,wrong_content,0.7916666666666666
d19f7514,0,correct,1.0
d282b262,0,close_miss,0.8533333333333334
d2acf2cb,0,correct,1.0
d304284e,0,close_miss,0.9285714285714286
d37a1ef5,0,correct,1.0
d47aa2ff,0,correct,1.0
d492a647,0,correct,1.0
d4b1c2b1,0,wrong_size,
d4c90558,0,wrong_size,
d56f2372,0,wrong_size,
d5c634a2,0,wrong_size,
d5c634a2,1,wrong_size,
d931c21c,0,close_miss,0.9955555555555555
d94c3b52,0,close_miss,0.8094117647058824
da2b0fe3,0,correct,1.0
da2b0fe3,1,close_miss,0.88
da515329,0,correct,1.0
dc2aa30b,0,wrong_content,0.7272727272727273
dc2e9a9d,0,close_miss,0.9852216748768473
dd2401ed,0,close_miss,0.9714285714285714
de493100,0,wrong_size,
df8cc377,0,close_miss,0.9213286713286714
e0fb7511,0,correct,1.0
e133d23d,0,correct,1.0
e1baa8a4,0,wrong_size,
e1d2900e,0,close_miss,0.9977777777777778
e2092e0c,0,close_miss,0.9422222222222222
e21a174a,0,close_miss,0.8163265306122449
e21a174a,1,close_miss,0.8307692307692308
e345f17b,0,correct,1.0
e345f17b,1,correct,1.0
e4075551,0,correct,1.0
e41c6fd3,0,correct,1.0
e57337a4,0,correct,1.0
e5790162,0,close_miss,0.9833333333333333
e5c44e8f,0,wrong_content,0.743801652892562
e619ca6e,0,close_miss,0.8571428571428571
e633a9e5,0,correct,1.0
e66aafb8,0,correct,1.0
e681b708,0,correct,1.0
e69241bd,0,close_miss,0.9753086419753086
e6de6e8f,0,wrong_content,0.6964285714285714
e74e1818,0,close_miss,0.9555555555555556
e760a62e,0,correct,1.0
e7639916,0,correct,1.0
e78887d1,0,wrong_content,0.6888888888888889
e7a25a18,0,wrong_size,
e7b06bea,0,correct,1.0
e7dd8335,0,close_miss,0.898989898989899
e872b94a,0,wrong_size,
e88171ec,0,correct,1.0
e95e3d8e,0,correct,1.0
e99362f0,0,correct,1.0
e9ac8c9e,0,correct,1.0
e9b4f6fc,0,correct,1.0
e9bb6954,0,correct,1.0
e9c9d9a1,0,correct,1.0
ea959feb,0,correct,1.0
ea9794b1,0,correct,1.0
ecaa0ec1,0,close_miss,0.9669421487603306
ed74f2f2,0,wrong_content,0.2222222222222222
ed98d772,0,close_miss,0.8333333333333334
ef26cbf6,0,correct,1.0
f0afb749,0,correct,1.0
f0df5ff0,0,correct,1.0
f21745ec,0,close_miss,0.8320158102766798
f3b10344,0,close_miss,0.9919540229885058
f3cdc58f,0,wrong_content,0.75
f3e62deb,0,close_miss,0.84
f3e62deb,1,close_miss,0.84
f4081712,0,correct,1.0
f45f5ca7,0,close_miss,0.9
f5aa3634,0,wrong_size,
f5c89df1,0,close_miss,0.9408284023668639
f823c43c,0,correct,1.0
f83cb3f6,0,correct,1.0
f8be4b64,0,correct,1.0
f9a67cb5,0,close_miss,0.9428571428571428
f9d67f8b,0,close_miss,0.9822222222222222
fafd9572,0,close_miss,0.9642857142857143
fb791726,0,correct,1.0
fc754716,0,correct,1.0
fd096ab6,0,close_miss,0.9677777777777777
fd4b2b02,0,close_miss,0.8671875
fe9372f3,0,close_miss,0.9568627450980393
fea12743,0,close_miss,0.9204545454545454
ff72ca3e,0,close_miss,0.915
